Config,Depth,Input,Target,Pred,Correct,Reasoning
L2H8R4,depth3,((36 + 2) + (64 + 76)) - ((64 - 7) + (3 + 17)),101,,,...
L2H8R4,depth3,(17 - (19 - 32)) - ((48 + 91) + (32 - 38)),-103,,,...
L2H8R4,depth3,((90 + 81) + (4 + 67)) - (30 - (2 - 83)),131,,,...
L2H8R4,depth3,((98 - 84) - (25 - 46)) + ((93 - 53) - (44 + 55)),-24,,,...
L4H2R4,depth4,(58 + ((92 - 67) - (74 - 57))) + (((33 - 55) + (3 - 99)) + 31),-21,,,...
L4H2R4,depth4,9 - (((39 - 3) - (99 + 57)) + ((21 + 57) - (9 + 21))),81,,,...
L4H2R4,depth4,(76 + ((19 + 46) - (24 + 77))) - (((50 + 33) - 6) - ((65 + 86) - (84 - 86))),116,,,...
L4H2R4,depth4,(((2 - 79) - 80) + ((54 + 45) - (97 - 92))) - ((8 + (95 - 96)) + 23),-93,,,...
L4H2R4,depth4,(((31 + 70) + (5 + 41)) + ((42 - 44) - (47 - 74))) - 1,171,,,...
L4H2R4,depth4,(((86 + 8) - (75 - 22)) - ((49 + 32) + 22)) + (11 + ((14 + 59) + (5 + 85))),112,,,...
L4H2R4,depth4,((92 + (34 - 92)) + ((96 + 62) + (34 + 14))) - (((16 + 78) - (86 + 2)) - ((50 - 50) - (58 - 72))),248,,,...
L4H2R4,depth4,53 + ((26 - (65 + 90)) - ((11 - 63) + (7 - 64))),33,,,...
L4H2R4,depth4,(((22 - 10) - (77 - 54)) - ((15 + 49) + 68)) - (((71 + 10) - (3 + 42)) + ((11 - 99) + (93 + 52))),-236,,,...
L4H2R4,depth4,50 - (((11 + 95) - (24 - 39)) - (53 + (36 + 88))),106,,,...
L6H2R4,depth1,33 - 33,0,,,...
L6H2R4,depth1,21 + 27,48,,,...
L6H2R4,depth1,25 + 73,98,,,...
L6H2R4,depth1,17 + 37,54,,,...
L6H2R4,depth1,81 + 27,108,,,...
L6H2R4,depth1,9 + 22,31,,,...
L6H2R4,depth1,67 + 61,128,,,...
L6H2R4,depth1,20 + 46,66,,,...
L6H2R4,depth1,20 - 27,-7,,,...
L6H2R4,depth1,21 - 77,-56,,,...
L8H16R8,depth3,((2 - 86) - (98 + 21)) + ((37 - 88) + 53),-201,,,...
L8H16R8,depth3,29 - (9 - (27 - 50)),-3,,,...
L8H16R8,depth3,((72 - 60) - (47 + 11)) + ((98 + 97) + (66 + 90)),305,,,...
L8H16R8,depth3,((3 + 50) - (33 + 84)) + 50,-14,,,...
L8H16R8,depth3,((55 + 74) + (5 - 44)) + ((91 + 4) - (91 - 45)),139,,,...
L8H16R8,depth3,((78 - 61) - (89 + 3)) - 78,-153,,,...
L8H16R8,depth3,(69 - (84 - 48)) + (72 - (3 + 27)),75,,,...
L8H16R8,depth3,((5 + 11) + (5 + 87)) - 27,81,,,...
L8H16R8,depth3,((56 - 63) - (45 + 16)) - ((12 + 24) - (34 + 62)),-8,,,...
L8H16R8,depth3,((33 - 37) + (97 + 26)) - ((92 + 43) - (49 + 94)),127,,,...
L6H4R4,depth4,(((51 + 38) + (64 - 0)) + ((47 + 73) + (54 + 27))) + 73,427,,,...
L6H4R4,depth4,((22 - (45 + 11)) - 3) + (((2 + 3) - (58 + 69)) - ((28 + 5) + (52 - 27))),-217,,,...
L6H4R4,depth4,(((40 + 44) + (93 + 87)) + 56) + (((71 - 80) - (14 + 46)) + ((81 - 34) + (85 - 56))),327,,,...
L6H4R4,depth4,(((3 + 41) - (16 + 90)) + ((66 - 58) + 18)) + (((44 + 83) - 17) + ((47 + 96) + (48 - 77))),188,,,...
L6H4R4,depth4,(((79 + 18) - (69 + 52)) + ((29 - 36) + (16 + 70))) + 0,55,,,...
L6H4R4,depth4,(((50 + 9) + (22 - 92)) - ((59 + 26) - (35 + 87))) - (((36 - 20) - (53 + 55)) - ((57 + 23) - (51 - 17))),164,,,...
L6H4R4,depth4,(((16 - 26) + (45 - 85)) + ((78 + 74) + (44 - 25))) - (((97 + 29) + (71 + 26)) + ((1 + 48) - (95 + 92))),36,,,...
L6H4R4,depth4,(((3 - 51) + (72 - 55)) - ((20 + 90) - (45 + 63))) + (((29 + 37) - (93 + 25)) - ((71 + 49) + (49 + 38))),-292,,,...
L6H4R4,depth4,(((66 - 92) - (44 + 99)) - ((67 - 17) + (63 + 40))) - 40,-362,,,...
L6H4R4,depth4,(((33 - 16) - (96 + 46)) + ((79 - 36) - (46 - 51))) - (((54 + 25) - (69 + 3)) + ((37 + 2) - (43 - 81))),-161,,,...
L4H16R4,depth1,39 + 56,95,,,...
L4H16R4,depth1,40 + 95,135,,,...
L4H16R4,depth1,0 + 2,2,,,...
L4H16R4,depth1,40 - 57,-17,,,...
L4H16R4,depth1,28 + 82,110,,,...
L4H16R4,depth1,6 + 71,77,,,...
L4H16R4,depth1,40 + 3,43,,,...
L4H16R4,depth1,74 - 60,14,,,...
L4H16R4,depth1,94 - 45,49,,,...
L4H16R4,depth1,46 + 69,115,,,...
L4H2R16,max,10,10,,,...
L4H2R16,max,((76 + ((84 + 21) + 51)) + 53) + ((14 - ((43 - 15) + (46 + 57))) + (45 - ((76 + 96) + (71 - 59)))),29,,,...
L4H2R16,max,79,79,,,...
L4H2R16,max,91,91,,,...
L4H2R16,max,86,86,,,...
L4H2R16,max,9 - 51,-42,,,...
L4H2R16,max,(78 - (((1 - 45) + 82) + ((89 + 33) - (52 - 75)))) - 22,-127,,,...
L4H2R16,max,85 - ((((32 + 54) + 89) + (44 - 54)) + (((22 - 42) - 82) + (35 - (33 + 92)))),112,,,...
L4H2R16,max,36,36,,,...
L4H2R16,max,(((43 + (18 + 78)) + (17 + 12)) + (((52 + 61) - 38) + ((74 + 90) - (26 - 19)))) + ((((53 - 25) - 78) - ((6 - 20) - 55)) - 8),411,,,...
L4H2R16,depth3,((33 - 58) - (13 + 17)) - (22 + (43 + 23)),-143,,,...
L4H2R16,depth3,((99 + 2) + (75 + 37)) + ((69 - 29) - (23 - 48)),278,,,...
L4H2R16,depth3,57 + ((8 + 53) + (64 + 56)),238,,,...
L4H2R16,depth3,(82 + (88 - 58)) + ((92 + 15) + (39 + 59)),317,,,...
L4H2R16,depth3,((59 + 63) - (75 + 6)) - ((56 - 18) - (38 - 12)),29,,,...
L4H2R16,depth3,((52 + 40) + (4 + 56)) + ((5 + 21) - (67 + 8)),103,,,...
L4H2R16,depth3,((54 - 0) + (11 + 88)) + ((73 - 20) - (73 + 43)),90,,,...
L4H2R16,depth3,((47 + 95) + (94 - 20)) - ((67 + 49) - (87 - 74)),113,,,...
L4H2R16,depth3,((61 + 47) + (16 - 81)) - ((36 + 48) - (48 - 46)),-39,,,...
L4H2R16,depth3,((84 - 79) + (35 - 60)) - ((55 + 3) - (29 + 11)),-38,,,...
L8H16R32,depth2,(19 - 13) - (11 + 75),-80,,,...
L8H16R32,depth2,(21 - 63) - (54 - 42),-54,,,...
L8H16R32,depth2,(70 + 35) + (6 - 83),28,,,...
L8H16R32,depth2,71 + (57 + 26),154,,,...
L8H16R32,depth2,52 + (87 + 74),213,,,...
L8H16R32,depth2,42 + (61 - 70),33,,,...
L8H16R32,depth2,(68 + 80) - 78,70,,,...
L8H16R32,depth2,(34 + 94) - (75 + 26),27,,,...
L8H16R32,depth2,(93 - 46) - (37 - 77),87,,,...
L8H16R32,depth2,98 - (93 + 5),0,,,...
L6H2R32,depth4,(((6 + 85) - (48 - 34)) + ((39 - 15) - 57)) - (((17 + 37) - 29) + ((92 + 55) - (76 + 26))),-26,,,...
L6H2R32,depth4,(((80 - 19) + (6 - 22)) - ((56 - 27) + 15)) + (((39 - 85) + (51 - 41)) + ((96 - 27) + 35)),69,,,...
L6H2R32,depth4,(((72 + 22) - (19 - 89)) - ((89 + 34) + (48 + 51))) + (((35 + 18) + (70 - 61)) - (92 - (37 + 21))),-30,,,...
L6H2R32,depth4,(14 + ((67 + 85) - (82 + 88))) - (((22 - 84) + (78 + 41)) - ((67 - 58) + (90 - 71))),-33,,,...
L6H2R32,depth4,(96 + ((74 - 22) + (30 - 21))) - (((30 - 42) - (16 - 96)) - ((6 + 51) + (15 + 65))),226,,,...
L6H2R32,depth4,(((20 - 21) - (92 - 48)) - ((14 - 96) - (32 - 11))) + (((91 - 13) - (11 + 24)) - 90),11,,,...
L6H2R32,depth4,65 - (((84 - 26) + (36 - 89)) - ((22 - 54) - (84 + 68))),-124,,,...
L6H2R32,depth4,91 + (((23 + 89) + (79 - 27)) + (20 + (99 + 93))),467,,,...
L6H2R32,depth4,(4 - ((45 - 40) + (34 + 26))) - (((57 + 24) + (41 + 80)) - ((87 - 96) + (96 - 95))),-271,,,...
L6H2R32,depth4,14 - (((13 - 29) + (21 + 30)) + ((74 - 22) - (64 + 68))),59,,,...
L4H2R32,depth5,18 - ((((64 - 64) + (98 + 11)) - ((8 - 47) + (46 - 85))) - (((81 + 38) + (58 + 6)) + ((71 + 66) - (81 - 8)))),78,,,...
L4H2R32,depth5,((((43 - 18) - (62 + 26)) - ((88 + 27) - (83 - 72))) + (((97 - 59) - (95 - 80)) + ((28 + 74) - (88 - 40)))) + ((((93 + 45) + (93 + 95)) - ((69 - 79) - (68 - 1))) + (74 + ((8 - 27) - (91 - 9)))),286,,,...
L4H2R32,depth5,((((47 - 61) - (5 + 55)) - ((82 + 1) - (75 + 79))) + 3) - (((82 + (27 + 57)) - ((43 + 43) + (23 - 47))) - (((17 - 16) - (38 + 49)) + ((28 - 63) - (53 + 14)))),-292,,,...
L4H2R32,depth5,((((26 - 63) + (55 - 22)) + (77 - (66 - 11))) - (68 + ((23 - 2) - (97 - 48)))) - ((((85 + 25) - (18 + 96)) - ((54 - 89) + (10 + 94))) + (((44 - 99) - 38) - ((96 - 31) + (35 + 64)))),308,,,...
L4H2R32,depth5,(((15 - (2 - 76)) - ((92 + 12) + (46 - 34))) + (((19 + 5) + (23 - 65)) + ((63 + 2) + (11 + 45)))) + ((((78 - 3) + (56 + 40)) - 32) - 65),150,,,...
L4H2R32,depth5,((47 - ((90 - 18) + (34 - 76))) - (((60 - 9) - (92 - 49)) - 32)) + ((6 + ((42 + 18) + (91 + 27))) + (((67 - 42) - (50 - 19)) - ((72 + 66) - 53))),134,,,...
L4H2R32,depth5,((((73 - 17) - (29 + 79)) + ((26 - 20) + 53)) - ((29 + (2 - 72)) - ((99 + 18) - (81 - 52)))) + ((((36 - 81) - (86 + 7)) - 7) + ((87 - (50 - 13)) + ((37 - 50) + (94 - 87)))),35,,,...
L4H2R32,depth5,((((61 + 89) + (32 + 24)) - 75) - (((75 - 61) - (54 + 28)) + 18)) + ((((35 - 77) + (84 - 84)) - ((95 + 20) - (70 - 52))) - (((30 - 64) - (59 + 55)) - ((87 - 20) - (95 + 89)))),73,,,...
L4H2R32,depth5,((((56 + 57) + (67 + 28)) + ((89 - 96) + (62 - 78))) - ((95 + (30 - 90)) + ((9 + 10) + (21 + 8)))) - ((((76 + 81) - (48 + 59)) - ((3 - 42) - (30 + 8))) - (((4 + 57) + 27) - ((51 - 66) - 22))),100,,,...
L4H2R32,depth5,((((10 - 58) - (13 + 66)) - (3 + (65 - 89))) + (88 + ((25 - 70) - 87))) - ((((63 - 62) - (2 + 18)) + ((0 + 44) - (6 + 42))) - (((50 + 28) + (58 + 39)) - ((77 + 12) - (52 - 2)))),9,,,...
L4H4R32,depth1,28 + 44,72,,,...
L4H4R32,depth1,54 + 68,122,,,...
L4H4R32,depth1,71 - 54,17,,,...
L4H4R32,depth1,61 - 46,15,,,...
L4H4R32,depth1,21 - 28,-7,,,...
L4H4R32,depth1,9 + 15,24,,,...
L4H4R32,depth1,46 - 50,-4,,,...
L4H4R32,depth1,5 - 34,-29,,,...
L4H4R32,depth1,94 - 67,27,,,...
L4H4R32,depth1,80 - 12,68,,,...
L8H8R8,depth1,41 + 81,122,,,...
L8H8R8,depth1,79 - 16,63,,,...
L8H8R8,depth1,82 + 44,126,,,...
L8H8R8,depth1,64 + 63,127,,,...
L8H8R8,depth1,49 - 95,-46,,,...
L8H8R8,depth1,56 - 43,13,,,...
L8H8R8,depth1,6 + 45,51,,,...
L8H8R8,depth1,4 - 9,-5,,,...
L8H8R8,depth1,12 - 74,-62,,,...
L8H8R8,depth1,2 - 23,-21,,,...
L4H16R8,depth2,(77 - 99) + (71 + 65),114,,,...
L4H16R8,depth2,(53 + 16) - (0 + 17),52,,,...
L4H16R8,depth2,(71 - 20) - (57 + 72),-78,,,...
L4H16R8,depth2,(68 - 15) + 42,95,,,...
L4H16R8,depth2,(39 + 63) + (92 + 19),213,,,...
L4H16R8,depth2,(71 - 53) + 58,76,,,...
L4H16R8,depth2,(82 + 99) - (28 + 57),96,,,...
L4H16R8,depth2,19 + (95 - 97),17,,,...
L4H16R8,depth2,(36 - 18) - 70,-52,,,...
L4H16R8,depth2,(53 + 66) - (15 - 8),112,,,...
L6H4R16,max,89,89,,,...
L6H4R16,max,(28 + (((29 + 33) + (30 - 48)) - 7)) - (4 + 61),0,,,...
L6H4R16,max,(94 - (48 - 26)) + 0,72,,,...
L6H4R16,max,(63 + (29 + ((81 + 91) - (42 + 95)))) + ((((90 - 44) - 16) + 68) - 91),134,,,...
L6H4R16,max,((16 - ((85 - 77) - 85)) + (((43 + 49) + (74 - 26)) + ((35 - 79) + (44 - 67)))) + ((((79 + 6) - (35 - 21)) - 8) + (70 - (52 + (50 - 65)))),262,,,...
L6H4R16,max,((20 - (77 - (74 - 50))) - 31) + 80,16,,,...
L6H4R16,max,((65 - (41 - 10)) + ((53 + (28 - 47)) - ((37 + 47) + (55 - 49)))) + 85,63,,,...
L6H4R16,max,13,13,,,...
L6H4R16,max,49 + 77,126,,,...
L6H4R16,max,82,82,,,...
L8H8R16,depth1,94 + 99,193,,,...
L8H8R16,depth1,21 + 22,43,,,...
L8H8R16,depth1,50 - 32,18,,,...
L8H8R16,depth1,32 + 4,36,,,...
L8H8R16,depth1,88 + 62,150,,,...
L8H8R16,depth1,83 + 87,170,,,...
L8H8R16,depth1,53 + 88,141,,,...
L8H8R16,depth1,73 + 8,81,,,...
L8H8R16,depth1,37 - 12,25,,,...
L8H8R16,depth1,40 + 46,86,,,...
L8H16R32,depth5,((((74 - 89) - (47 - 77)) - ((23 + 55) - 74)) + (((21 + 65) - (6 - 84)) + ((36 - 47) + (64 - 0)))) - (((28 - (61 - 73)) + (16 - (41 + 2))) - (((27 - 36) - (0 - 26)) + ((45 + 81) + (92 - 62)))),388,,,...
L8H16R32,depth5,((((63 + 88) + (96 + 98)) + ((10 + 31) + (13 + 45))) - (((55 + 90) - 65) - (84 - (70 - 58)))) - ((((48 - 96) + (22 + 72)) + ((60 + 51) + (96 - 46))) - (((33 - 58) + (53 - 68)) + ((62 + 16) - (4 - 69)))),332,,,...
L8H16R32,depth5,((((17 + 78) + (47 - 18)) + ((83 + 77) + 3)) - (((27 + 31) - (90 + 61)) - ((49 + 54) - (64 - 48)))) + (50 + (((87 + 24) + (7 + 97)) - (20 + (72 - 11)))),651,,,...
L8H16R32,depth5,((((71 - 71) + (53 + 6)) + ((7 + 86) + (59 - 80))) - (((89 + 87) + 46) + ((99 + 70) + (88 + 37)))) - ((((84 - 75) - (9 + 79)) + ((33 - 54) - (1 + 78))) + (((20 - 90) - 64) + (98 + (55 + 99)))),-324,,,...
L8H16R32,depth5,((((95 + 88) + 48) + ((17 - 63) + (8 + 16))) + 9) - ((((98 + 75) + (11 + 4)) - 78) + (((52 + 14) + (49 + 16)) + ((19 - 15) - (24 + 88)))),85,,,...
L8H16R32,depth5,((((84 - 29) + (59 + 27)) + ((80 + 71) - 78)) - (((15 - 45) + (24 + 79)) + ((98 + 20) - (11 - 64)))) + ((((11 + 64) + (38 + 20)) - 44) - (((58 - 92) + (72 + 27)) + ((59 + 54) + (20 - 93)))),-46,,,...
L8H16R32,depth5,((73 - ((35 + 15) + (96 + 73))) - (((71 - 93) + 64) - ((7 - 53) - (61 + 22)))) + ((((2 - 3) + 64) + ((53 - 77) - (1 + 46))) - (55 + ((41 + 40) + (57 - 13)))),-505,,,...
L8H16R32,depth5,((((52 + 48) - (92 + 41)) + ((59 + 49) - (83 + 78))) - (((16 + 49) - (38 - 13)) - ((45 + 35) - (53 + 37)))) + ((((20 - 74) - (73 + 53)) + ((91 - 12) + (76 + 87))) + (((86 - 89) + (39 + 33)) + ((96 - 65) - (59 + 95)))),-128,,,...
L8H16R32,depth5,((((16 - 34) + (66 + 85)) + ((46 - 67) - (75 + 16))) + (((43 + 34) - (20 - 14)) + ((31 + 41) - (44 + 30)))) + ((48 - ((79 - 76) + (54 + 23))) - (((97 + 30) + (88 + 49)) + ((55 + 71) - (18 + 93)))),-221,,,...
L8H16R32,depth5,((((65 - 30) + (50 - 26)) - ((15 + 78) - (53 + 94))) - ((67 - (79 - 83)) - ((42 - 36) - (37 - 97)))) + ((((69 - 34) + (50 + 63)) + 7) + (((76 + 36) - (65 - 0)) - ((6 + 39) - (52 - 96)))),221,,,...
L8H16R8,max,(33 - 72) + (46 + (((88 + 3) - (46 - 95)) - ((82 + 18) - 50))),97,,,...
L8H16R8,max,((((64 - 91) + (95 - 67)) - ((3 - 82) + (96 + 29))) + (((28 + 11) + (66 - 71)) - 91)) + (((27 - (4 - 24)) + 12) - (((47 + 99) - (77 - 18)) + ((88 - 98) + (50 - 97)))),-73,,,...
L8H16R8,max,44 + (75 + 66),185,,,...
L8H16R8,max,71,71,,,...
L8H16R8,max,54 - 72,-18,,,...
L8H16R8,max,((50 + ((74 - 50) - 4)) + (44 + ((91 + 1) + (73 + 74)))) + (21 + ((58 + (23 + 56)) + 15)),526,,,...
L8H16R8,max,((((74 - 51) - (3 - 98)) + 7) + (11 + (45 + 74))) + 91,346,,,...
L8H16R8,max,(68 - 97) - ((50 + ((14 + 71) + (60 - 39))) + 46),-231,,,...
L8H16R8,max,((((57 - 4) - (65 + 28)) - ((29 - 56) + (12 + 72))) + 70) - 56,-83,,,...
L8H16R8,max,(62 - (((68 + 98) - (80 - 60)) - ((7 - 98) + (34 + 96)))) - (86 - (((72 - 22) - (33 + 90)) + ((94 + 41) + (37 + 27)))),-5,,,...
L6H4R8,depth4,(((95 + 59) + (65 - 21)) + ((90 + 93) + (25 + 76))) + (((80 - 95) - (57 - 77)) - ((84 + 25) + 40)),338,,,...
L6H4R8,depth4,(((8 + 34) + 51) - ((21 + 12) - (41 - 80))) + (((41 - 42) + (0 + 45)) + (61 - (96 + 85))),-55,,,...
L6H4R8,depth4,12 - (60 - ((58 + 30) + (18 - 57))),1,,,...
L6H4R8,depth4,(((66 - 53) - (96 - 81)) - ((73 - 55) - (31 + 73))) + (((31 - 75) + (81 - 95)) - ((67 + 24) + (79 + 58))),-202,,,...
L6H4R8,depth4,((24 - (12 + 66)) + ((99 + 34) + (1 + 36))) - (((21 + 63) + (56 - 0)) - (19 - (1 + 22))),-28,,,...
L6H4R8,depth4,(((58 + 14) - (52 - 0)) - ((31 - 84) - 87)) - (((41 + 58) - (61 + 9)) - ((33 + 29) - (74 + 36))),83,,,...
L6H4R8,depth4,(((50 - 89) + (35 - 40)) - (54 + (81 + 57))) + (((40 - 49) + (61 + 94)) + ((85 - 70) - (50 - 20))),-105,,,...
L6H4R8,depth4,67 - (((14 - 56) - (28 + 82)) + ((54 + 70) - (37 - 93))),39,,,...
L6H4R8,depth4,(((57 + 26) - (27 - 4)) + ((70 + 56) + (80 - 54))) - 91,121,,,...
L6H4R8,depth4,(((89 - 5) + (21 + 35)) - ((26 - 20) + (57 + 26))) - (((18 + 53) - (97 - 51)) + (42 - (1 - 87))),-102,,,...
L2H2R32,depth1,61 - 60,1,,,...
L2H2R32,depth1,78 + 28,106,,,...
L2H2R32,depth1,55 + 66,121,,,...
L2H2R32,depth1,69 - 60,9,,,...
L2H2R32,depth1,18 + 54,72,,,...
L2H2R32,depth1,56 + 10,66,,,...
L2H2R32,depth1,26 + 59,85,,,...
L2H2R32,depth1,92 + 20,112,,,...
L2H2R32,depth1,14 + 50,64,,,...
L2H2R32,depth1,90 - 95,-5,,,...
L8H8R32,depth4,(50 + ((26 - 29) + (18 - 3))) - (((3 - 21) + (94 + 14)) + ((70 - 60) - (16 - 56))),-78,,,...
L8H8R32,depth4,(((96 - 25) - (45 - 51)) - ((81 + 58) + (27 - 29))) - 12,-72,,,...
L8H8R32,depth4,(((26 + 66) - (79 - 65)) + ((72 - 39) - (91 - 4))) + (((94 - 85) + (40 + 66)) - ((63 + 57) + (1 + 29))),-11,,,...
L8H8R32,depth4,(((57 + 37) - (45 - 42)) + ((15 + 46) - (69 + 38))) + (((23 - 32) - (81 + 94)) - ((31 + 55) + (94 - 73))),-246,,,...
L8H8R32,depth4,43 + (((77 + 54) + (94 - 75)) - ((51 - 20) + (70 - 91))),183,,,...
L8H8R32,depth4,49 + ((27 - (86 + 99)) - 89),-198,,,...
L8H8R32,depth4,(((57 - 47) + (75 + 0)) + ((77 - 25) - (25 + 30))) + 7,89,,,...
L8H8R32,depth4,(((29 - 30) + (92 - 45)) - ((84 + 12) - (19 + 5))) - (((7 - 31) - 98) - ((94 - 10) - (67 + 21))),92,,,...
L8H8R32,depth4,(((28 + 47) - (24 + 92)) - ((80 - 63) + (52 + 88))) - ((61 + (52 - 20)) - ((84 + 86) - (38 + 54))),-213,,,...
L8H8R32,depth4,(((58 - 60) + 67) - ((59 + 76) - (29 + 42))) - (33 - ((28 - 75) + (44 + 84))),49,,,...
L2H16R4,depth3,((7 - 63) + 21) + ((11 - 90) - (88 - 8)),-194,,,...
L2H16R4,depth3,((23 + 43) + (30 + 68)) + ((87 - 19) + (78 - 79)),231,,,...
L2H16R4,depth3,((39 + 14) + (63 + 82)) - ((18 + 21) - (31 - 9)),181,,,...
L2H16R4,depth3,((82 - 97) + (96 - 81)) - 45,-45,,,...
L2H16R4,depth3,((38 - 20) + 28) + ((39 + 5) - 20),70,,,...
L2H16R4,depth3,((32 + 18) - (35 - 85)) - ((78 + 99) - 5),-72,,,...
L2H16R4,depth3,((91 - 46) - (33 - 31)) - ((31 - 94) - (51 - 5)),152,,,...
L2H16R4,depth3,(87 + (3 + 66)) - ((26 - 40) - (43 + 45)),258,,,...
L2H16R4,depth3,((39 - 24) - 94) - ((65 - 59) + (9 - 35)),-59,,,...
L2H16R4,depth3,((36 + 93) - (54 - 18)) + ((22 + 38) - (63 + 44)),46,,,...
L4H16R8,depth3,((58 + 6) - (96 + 31)) - ((53 - 16) + (1 + 55)),-156,,,...
L4H16R8,depth3,((59 + 44) - (71 + 22)) - ((37 - 38) + (49 + 47)),-85,,,...
L4H16R8,depth3,((82 + 81) + (68 - 77)) + ((81 + 64) + (26 + 72)),397,,,...
L4H16R8,depth3,((34 + 43) - (97 - 76)) + ((89 - 46) - (70 - 9)),38,,,...
L4H16R8,depth3,18 - ((18 - 34) + (28 - 52)),58,,,...
L4H16R8,depth3,((91 + 95) + (23 + 63)) - ((66 - 47) - 0),253,,,...
L4H16R8,depth3,((72 - 71) + (92 - 6)) - ((15 + 23) - 39),88,,,...
L4H16R8,depth3,((75 - 33) - (91 + 73)) - ((9 - 79) + (26 + 21)),-99,,,...
L4H16R8,depth3,(5 - (56 - 62)) + ((51 + 17) - (36 - 87)),130,,,...
L4H16R8,depth3,((46 + 8) - (74 + 51)) - ((54 - 20) + (10 + 10)),-125,,,...
L2H16R32,depth2,(82 + 46) - (11 - 97),214,,,...
L2H16R32,depth2,(13 + 33) - (0 - 14),60,,,...
L2H16R32,depth2,(27 - 0) - (59 - 34),2,,,...
L2H16R32,depth2,(22 + 86) - (35 - 79),152,,,...
L2H16R32,depth2,(39 - 50) - 94,-105,,,...
L2H16R32,depth2,(70 - 14) + (17 + 47),120,,,...
L2H16R32,depth2,13 - (5 - 6),14,,,...
L2H16R32,depth2,(3 - 60) - (37 + 47),-141,,,...
L2H16R32,depth2,(61 - 17) - (66 - 25),3,,,...
L2H16R32,depth2,(67 + 88) + (67 + 93),315,,,...
L6H8R8,depth2,(50 + 0) + (32 + 69),151,,,...
L6H8R8,depth2,(87 - 31) - (0 - 15),71,,,...
L6H8R8,depth2,(70 - 90) - (73 - 45),-48,,,...
L6H8R8,depth2,(89 - 34) + (86 + 34),175,,,...
L6H8R8,depth2,(37 - 43) - (15 - 51),30,,,...
L6H8R8,depth2,(71 + 69) - 11,129,,,...
L6H8R8,depth2,(19 + 37) + (64 + 87),207,,,...
L6H8R8,depth2,(17 - 45) - (67 + 10),-105,,,...
L6H8R8,depth2,(22 - 66) - (15 - 12),-47,,,...
L6H8R8,depth2,(78 + 25) - 28,75,,,...
L6H2R8,max,(98 + 56) + (((65 - (55 - 25)) + ((46 + 63) + (47 + 76))) + (((25 - 62) + (55 - 90)) - (59 + 57))),233,,,...
L6H2R8,max,80,80,,,...
L6H2R8,max,((((84 - 82) - (75 + 59)) - (45 + 20)) - (19 + ((80 + 79) + (19 + 54)))) - (11 - (((15 - 12) + (14 - 84)) - ((60 + 36) - 9))),-613,,,...
L6H2R8,max,((((26 - 43) + (47 - 36)) - ((66 - 58) + (26 - 94))) - (((68 + 90) + (42 + 99)) + ((28 + 67) - (77 - 37)))) + (((66 - 1) - ((89 + 94) + (14 - 55))) - 58),-435,,,...
L6H2R8,max,94,94,,,...
L6H2R8,max,((((49 - 26) - (5 + 63)) - ((86 + 62) - (98 + 50))) + ((42 - (71 + 33)) + (11 + 81))) + ((((71 + 47) - (53 + 32)) - 84) - (((21 - 59) + (35 - 17)) + 40)),-86,,,...
L6H2R8,max,87 + 44,131,,,...
L6H2R8,max,90 - ((69 - ((9 + 28) - (17 + 61))) - 50),30,,,...
L6H2R8,max,2,2,,,...
L6H2R8,max,54 - ((((44 - 17) - (37 + 8)) - ((62 + 99) - (92 - 21))) - (35 + ((17 + 64) + (36 + 2)))),316,,,...
L8H8R8,max,73,73,,,...
L8H8R8,max,(26 + (((94 - 25) - (47 + 6)) + 81)) - (69 + 72),-18,,,...
L8H8R8,max,(36 - 49) + ((74 + ((69 + 4) - (30 - 82))) - (95 - 8)),99,,,...
L8H8R8,max,46,46,,,...
L8H8R8,max,98,98,,,...
L8H8R8,max,((((16 + 90) - 52) + ((73 - 59) - (63 + 58))) - (85 + ((16 - 88) - 64))) + (6 + (((21 - 5) - 3) + 71)),88,,,...
L8H8R8,max,((35 - 68) + (((61 - 91) + 64) - (16 + (95 + 32)))) + ((81 + ((73 + 16) - (15 + 40))) - (((28 - 40) + (70 + 92)) + ((11 - 36) - 4))),-148,,,...
L8H8R8,max,42,42,,,...
L8H8R8,max,25 - 21,4,,,...
L8H8R8,max,49,49,,,...
L4H4R8,max,59,59,,,...
L4H4R8,max,87,87,,,...
L4H4R8,max,(96 + (((81 - 48) + (42 + 9)) - ((83 - 69) + (31 - 66)))) + (86 - (0 - (38 + (26 + 51)))),402,,,...
L4H4R8,max,((52 - ((5 + 63) + (2 + 80))) + ((25 - (54 + 65)) - ((17 + 49) - 84))) + 22,-152,,,...
L4H4R8,max,90,90,,,...
L4H4R8,max,41 + ((((42 + 90) + (21 + 76)) - 77) + (((7 - 68) + (81 + 61)) - ((21 + 61) + (48 + 97)))),47,,,...
L4H4R8,max,78,78,,,...
L4H4R8,max,52,52,,,...
L4H4R8,max,(78 + ((37 - 97) + ((78 - 37) + (46 - 19)))) - ((28 + ((44 - 43) + 95)) - (((14 + 40) - 16) + 18)),18,,,...
L4H4R8,max,((((19 + 78) - (93 + 84)) + (71 + (41 - 14))) + 52) + ((((31 + 88) - (89 + 27)) + ((48 - 0) - 88)) + (94 - ((62 - 96) + (28 - 29)))),162,,,...
L8H2R16,depth4,(51 - ((1 - 5) + (87 - 39))) + (((65 + 49) + (68 + 82)) + ((86 - 52) + (1 + 70))),376,,,...
